date,group,group_return,group_count,long_short_return
2020-01-02,1,0.024616013532755165,8,0.004528705853410392
2020-01-02,2,-0.007104164062794918,8,0.004528705853410392
2020-01-02,3,0.004374187786988226,8,0.004528705853410392
2020-01-02,4,0.005188326139197952,8,0.004528705853410392
2020-01-02,5,0.020087307679344774,8,0.004528705853410392
2020-01-03,1,0.016772035720154038,8,-0.005682742838284294
2020-01-03,2,0.005772094749677395,8,-0.005682742838284294
2020-01-03,3,0.013366558670473094,8,-0.005682742838284294
2020-01-03,4,0.013241996619036925,8,-0.005682742838284294
2020-01-03,5,0.022454778558438332,8,-0.005682742838284294
2020-01-06,1,0.019357296583248612,8,-0.001956938098361241
2020-01-06,2,0.018735524468681305,8,-0.001956938098361241
2020-01-06,3,0.016913555073321998,8,-0.001956938098361241
2020-01-06,4,0.016845341286074192,8,-0.001956938098361241
2020-01-06,5,0.021314234681609853,8,-0.001956938098361241
2020-01-07,1,0.008477145257476656,8,-0.00898098558361303
2020-01-07,2,0.023724728175815543,8,-0.00898098558361303
2020-01-07,3,0.020384459047379247,8,-0.00898098558361303
2020-01-07,4,0.02633326230899577,8,-0.00898098558361303
2020-01-07,5,0.017458130841089686,8,-0.00898098558361303
2020-01-08,1,0.0015240516775557322,8,-0.013972423123936373
2020-01-08,2,0.006419141179915003,8,-0.013972423123936373
2020-01-08,3,0.01664226419525923,8,-0.013972423123936373
2020-01-08,4,0.028586564237417234,8,-0.013972423123936373
2020-01-08,5,0.015496474801492105,8,-0.013972423123936373
2020-01-09,1,0.01243922806832945,8,-0.0029929675736646566
2020-01-09,2,0.008465877974008537,8,-0.0029929675736646566
2020-01-09,3,0.018698950822088584,8,-0.0029929675736646566
2020-01-09,4,0.024365025558775066,8,-0.0029929675736646566
2020-01-09,5,0.015432195641994106,8,-0.0029929675736646566
2020-01-10,1,0.020652292593460367,8,-0.004902979391891979
2020-01-10,2,0.016716851690251888,8,-0.004902979391891979
2020-01-10,3,0.030863917661083845,8,-0.004902979391891979
2020-01-10,4,0.024736545215258365,8,-0.004902979391891979
2020-01-10,5,0.025555271985352346,8,-0.004902979391891979
2020-01-13,1,0.004384067865637456,8,-0.017113652463976683
2020-01-13,2,-0.005184065389462589,8,-0.017113652463976683
2020-01-13,3,0.025386257590314903,8,-0.017113652463976683
2020-01-13,4,0.018721896545861733,8,-0.017113652463976683
2020-01-13,5,0.02149772032961414,8,-0.017113652463976683
2020-01-14,1,0.016448638626422388,8,-0.003431868560120635
2020-01-14,2,-0.00391213480899906,8,-0.003431868560120635
2020-01-14,3,0.019537659799849505,8,-0.003431868560120635
2020-01-14,4,0.018246733147148683,8,-0.003431868560120635
